County,Age Group,Subsidy Rate,Median Rate,75th Percentile,% Prov Reporting
Ferry,School Age,637,0,0,0
Franklin,School Age,517,611,631,0.79
Garfield,School Age,637,0,0,0
Grant,School Age,637,302,315,0.86
Grays Harbor,School Age,607,325,390,0.33
Island,School Age,689,583,638,0.93
Jefferson,School Age,607,0,0,0
King,School Age,724,672,884,0.73
Kitsap,School Age,566,535,650,0.52
Kittitas,School Age,517,314,340,1.00
Klickitat,School Age,607,0,0,0
Lewis,School Age,607,352,572,0.68
Lincoln,School Age,637,0,0,0
Mason,School Age,607,442,544,0.42
Okanogan,School Age,637,260,260,0.75
Pacific,School Age,607,0,0,0
Pend Oreille,School Age,637,0,0,0
Pierce,School Age,566,546,690,0.59
Sun Juan,School Age,689,433,659,1.00
Skagit,School Age,689,420,458,0.77
Skamania,School Age,607,0,0,0
Snohomish,School Age,689,693,789,0.80
Spokane,School Age,605,485,579,0.67
Stevens,School Age,637,446,530,0.43
Thurston,School Age,607,563,683,0.45
Wahkiakum,School Age,607,0,0,0
Walla Walla,School Age,607,350,350,0.64
Whatcom,School Age,689,455,550,0.96
Whitman,School Age,607,351,472,0.31
Yakima,School Age,517,325,472,
